PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,TitleGroup,Embarked,FamilySize,AgeGroup
1,0,3,"Braund, Mr. Owen Harris",0,22,1,0,7.25,Mr,0,2,
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,38,1,0,71.2833,Mrs,1,2,
3,1,3,"Heikkinen, Miss. Laina",1,26,0,0,7.925,Miss,0,1,
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35,1,0,53.1,Mrs,0,2,
5,0,3,"Allen, Mr. William Henry",0,35,0,0,8.05,Mr,0,1,
6,0,3,"Moran, Mr. James",0,30,0,0,8.4583,Mr,2,1,
7,0,1,"McCarthy, Mr. Timothy J",0,54,0,0,51.8625,Mr,0,1,
8,0,3,"Palsson, Master. Gosta Leonard",0,2,3,1,21.075,kid,0,5,
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27,0,2,11.1333,Mrs,0,3,
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,14,1,0,30.0708,Mrs,1,2,
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,4,1,1,16.7,Miss,0,3,
12,1,1,"Bonnell, Miss. Elizabeth",1,58,0,0,26.55,Miss,0,1,
13,0,3,"Saundercock, Mr. William Henry",0,20,0,0,8.05,Mr,0,1,
14,0,3,"Andersson, Mr. Anders Johan",0,39,1,5,31.275,Mr,0,7,
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,14,0,0,7.8542,Miss,0,1,
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,55,0,0,16.0,Mrs,0,1,
17,0,3,"Rice, Master. Eugene",0,2,4,1,29.125,kid,2,6,
18,1,2,"Williams, Mr. Charles Eugene",0,30,0,0,13.0,Mr,0,1,
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31,1,0,18.0,Mrs,0,2,
20,1,3,"Masselmani, Mrs. Fatima",1,35,0,0,7.225,Mrs,1,1,
21,0,2,"Fynney, Mr. Joseph J",0,35,0,0,26.0,Mr,0,1,
22,1,2,"Beesley, Mr. Lawrence",0,34,0,0,13.0,Mr,0,1,
23,1,3,"McGowan, Miss. Anna ""Annie""",1,15,0,0,8.0292,Miss,2,1,
24,1,1,"Sloper, Mr. William Thompson",0,28,0,0,35.5,Mr,0,1,
25,0,3,"Palsson, Miss. Torborg Danira",1,8,3,1,21.075,Miss,0,5,
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,38,1,5,31.3875,Mrs,0,7,
27,0,3,"Emir, Mr. Farred Chehab",0,30,0,0,7.225,Mr,1,1,
28,0,1,"Fortune, Mr. Charles Alexander",0,19,3,2,263.0,Mr,0,6,
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,21,0,0,7.8792,Miss,2,1,
30,0,3,"Todoroff, Mr. Lalio",0,30,0,0,7.8958,Mr,0,1,
31,0,1,"Uruchurtu, Don. Manuel E",0,40,0,0,27.7208,Mr,1,1,
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,35,1,0,146.5208,Mrs,1,2,
33,1,3,"Glynn, Miss. Mary Agatha",1,21,0,0,7.75,Miss,2,1,
34,0,2,"Wheadon, Mr. Edward H",0,66,0,0,10.5,Mr,0,1,
35,0,1,"Meyer, Mr. Edgar Joseph",0,28,1,0,82.1708,Mr,1,2,
36,0,1,"Holverson, Mr. Alexander Oskar",0,42,1,0,52.0,Mr,0,2,
37,1,3,"Mamee, Mr. Hanna",0,30,0,0,7.2292,Mr,1,1,
38,0,3,"Cann, Mr. Ernest Charles",0,21,0,0,8.05,Mr,0,1,
39,0,3,"Vander Planke, Miss. Augusta Maria",1,18,2,0,18.0,Miss,0,3,
40,1,3,"Nicola-Yarred, Miss. Jamila",1,14,1,0,11.2417,Miss,1,2,
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,40,1,0,9.475,Mrs,0,2,
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,27,1,0,21.0,Mrs,0,2,
43,0,3,"Kraeff, Mr. Theodor",0,30,0,0,7.8958,Mr,1,1,
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,3,1,2,41.5792,Miss,1,4,
45,1,3,"Devaney, Miss. Margaret Delia",1,19,0,0,7.8792,Miss,2,1,
46,0,3,"Rogers, Mr. William John",0,30,0,0,8.05,Mr,0,1,
47,0,3,"Lennon, Mr. Denis",0,30,1,0,15.5,Mr,2,2,
48,1,3,"O'Driscoll, Miss. Bridget",1,21,0,0,7.75,Miss,2,1,
49,0,3,"Samaan, Mr. Youssef",0,30,2,0,21.6792,Mr,1,3,
